,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
201612,   1.2938,   3.5652,   2.5328,   7.8014,   4.2579,  -2.6769,   1.3934,   2.2958,   4.4462,   3.8201,   0.5335,   1.5176,   1.4190,   1.7475,   1.8565,  -0.2594,   0.0347,   1.1514,   1.4903,   1.9460,   1.2324,   1.1526,   2.1114,   3.7336,   4.1363
201701,   1.9802,  -4.3151,  -0.3552,  -1.8255,  -0.0803,   2.5297,   1.6815,  -0.5583,  -2.0603,  -0.0441,   2.2686,   1.8443,   1.4365,  -0.1094,   0.6922,   3.1401,   3.6674,   1.4907,   1.7173,   1.2161,   3.3091,   2.3538,  -0.7566,   1.2036,  -0.4201
201702,   2.4373,   1.6914,   2.1149,   0.4700,  -1.6862,   5.9540,   0.7139,   0.5609,   1.3881,   1.0232,   4.1571,   1.4461,   1.0036,   1.1339,   0.0182,   3.6147,   2.4543,   3.0118,   1.5961,   2.4504,   4.5450,   2.8289,   1.9662,   3.6144,   4.2568
201703,   2.0872,   3.2786,   2.2294,   0.6803,   0.0657,   3.7741,   0.1973,  -0.9231,  -0.8628,  -2.1172,   1.3468,  -0.3429,   0.4839,  -1.0037,  -2.6593,   0.5517,  -0.1110,   0.4407,  -0.4592,  -3.5981,   1.3345,   0.2076,  -0.7856,  -1.4385,  -3.2233
201704,   3.8443,   0.5076,   0.6659,   2.2640,   0.1178,   3.8206,   1.1518,   1.0600,   1.5099,   0.4150,   1.8519,   1.1950,   1.5292,  -0.1927,  -2.5847,   1.7716,   1.4091,   0.2019,  -0.3687,  -1.0072,   1.8185,   1.7863,   0.2492,  -0.4198,  -0.9263
201705,  -2.0443,  -3.3442,  -2.0467,  -2.8423,  -3.3896,   0.1040,  -1.0336,  -2.5031,  -4.3091,  -4.5295,   1.6263,  -0.7218,  -2.7165,  -2.2744,  -4.2517,   1.5691,  -0.7044,   0.0601,  -0.4983,  -3.2396,   2.5802,   1.9900,   0.1609,  -0.5566,  -2.4618
201706,   9.5168,   8.5743,   4.8915,   3.7309,   4.3349,   6.0887,   2.7288,   3.0758,   2.8513,   4.0941,   2.4804,   2.1060,   2.6344,   2.0978,   3.2293,   1.6192,   1.4643,   1.1636,   2.2772,   3.8418,  -0.5791,   0.0873,  -0.7432,   2.0768,   5.1164
201707,  -0.8663,  -2.8603,  -0.8851,  -0.8823,  -0.1537,  -0.2474,   0.7732,   0.8229,   1.3996,   2.0501,   0.8921,   0.5318,   1.5518,   0.1377,   2.6506,   1.6668,   1.2228,   0.9298,   2.7634,   1.9848,   2.4823,   2.1490,   1.0119,   2.1277,   2.1040
201708,  -0.8532,  -0.2831,  -1.9206,  -2.1107,  -1.4539,  -0.8372,  -1.3555,  -1.8453,  -3.3799,  -3.8967,   0.7585,  -1.9942,  -2.1610,  -0.6466,  -3.5076,   0.8452,  -0.0245,  -0.5086,  -1.7754,  -2.4677,   1.8512,  -0.2236,  -0.7415,  -0.3655,  -1.9899
201709,   6.9798,   5.9628,  10.1561,   9.6443,   9.0972,   5.5650,   6.5466,   8.8823,   9.4341,   6.3877,   2.4700,   4.7800,   6.6037,   6.4124,   5.2658,   2.9262,   3.7799,   4.4190,   3.3088,   5.6282,   0.9237,   1.2515,   3.6182,   2.6977,   5.0017
201710,  -3.6089,  -2.4719,   2.9638,  -0.0593,   0.9465,   0.1893,   1.4883,   0.2527,   0.0452,   0.4868,   2.5309,   1.6267,   1.5937,   0.6502,   3.5545,   2.6071,   3.3330,   1.7745,  -0.5164,   1.9871,   4.1411,   0.6457,   1.9603,   1.1571,   4.0523
201711,   1.4800,   4.5590,   2.4385,   1.9731,   3.8205,   2.0445,   3.1312,   2.4858,   2.2763,   0.8500,   3.7495,   3.5382,   3.1802,   2.8640,   3.5608,   4.7010,   4.6625,   4.2026,   3.0225,   4.6568,   2.9884,   2.1597,   4.4070,   2.4844,   2.1171
201712,   1.3068,   0.0622,  -0.5209,  -1.4339,   0.1052,  -0.0523,   2.3948,  -1.7765,  -0.2151,   0.1399,   1.0421,  -0.0813,   0.0139,  -1.5218,   0.0769,   0.3639,   0.6081,   0.5009,   0.9713,   3.5413,   0.9355,   1.4661,   1.3153,   1.0247,   1.1296
201801,   3.5587,   2.9175,   2.4015,   2.6542,   0.5973,   3.1679,   2.1662,   2.7546,   2.1471,   2.0521,   5.0523,   3.5345,   3.6148,   3.5201,   2.3304,   5.0268,   5.6609,   4.5067,   3.3750,   1.4952,   8.0141,   5.1839,   4.8668,   4.1887,   5.8550
201802,  -2.1616,  -2.0963,  -4.4196,  -3.2380,  -3.9498,  -4.1299,  -2.1895,  -4.3302,  -3.7440,  -4.2295,  -3.0423,  -3.6756,  -5.1170,  -4.4027,  -4.6403,  -3.2981,  -5.0445,  -3.7444,  -4.7895,  -4.6468,  -1.5663,  -5.1106,  -5.4081,  -5.9134,  -2.2054
201803,   2.8055,  -0.9955,   0.5952,   2.6687,   2.4204,   1.9951,   0.3454,   1.0171,   1.2201,   0.6636,   2.1113,   1.0853,  -1.2305,   1.4891,   0.0524,  -0.4741,   0.1322,  -0.3056,   0.5232,   0.2629,  -2.9243,  -4.0651,  -1.4177,  -1.8245,  -4.7970
201804,   0.2576,   4.6742,   0.6799,   1.1151,   1.1534,   0.1964,   1.2663,   1.0470,   0.7899,   4.9136,  -0.2083,   0.3403,  -2.0466,   1.3019,  -0.0864,  -0.0801,  -0.6051,  -1.0033,  -0.6667,   2.1542,   0.1560,   0.8644,   1.1167,   0.6102,  -0.2845
201805,  14.5389,  10.0258,   7.4047,   6.3952,   6.3140,   8.3841,   6.5444,   7.0290,   6.8857,   3.7275,   6.1547,   5.2319,   4.3941,   5.0595,   4.5828,   4.0555,   4.4101,   2.2838,   1.7799,   1.5533,   4.1438,   2.1238,   0.6387,   0.0551,  -1.8852
201806,   3.6171,   2.8774,   0.3690,   1.0419,   1.8505,   1.2454,   4.3924,  -0.3043,  -1.3679,   1.4568,  -0.3935,   0.7880,  -0.0475,  -0.2998,  -1.4221,   1.5532,   1.1078,  -0.5281,  -1.1322,  -0.5972,   0.8548,   1.1282,  -0.1599,   0.4024,  -2.4511
201807,  -1.0959,  -0.6984,   1.0582,  -0.2574,  -0.0629,   1.5507,   3.9962,   3.6787,   0.5132,   2.7781,   1.0704,   2.6969,   2.0613,   2.4642,  -0.4804,   2.3085,   3.0338,   2.4315,   1.2439,   2.8055,   2.8887,   5.0961,   3.4324,   3.2406,   5.5426
201808,   4.4317,   8.2810,   2.6223,   1.4569,   2.6888,   7.6152,   4.7643,   3.9647,   1.9366,   2.4108,   6.4870,   4.8965,   2.6517,   2.1257,   4.3807,   7.2886,   2.9725,  -0.8404,   0.8011,  -1.3255,   6.0570,   1.7683,   1.7830,   0.2599,   1.0268
201809,  -2.5183,  -1.1343,  -4.1143,  -3.4001,  -2.5783,  -1.8736,  -1.2077,  -3.6037,  -3.6081,  -1.7081,  -1.9521,  -1.2856,  -2.2876,  -4.1226,  -2.7841,  -0.9553,   0.2770,  -1.9327,  -0.0178,  -0.1844,   0.8740,   1.1451,  -0.5796,  -1.0033,  -1.8664
201810, -14.4439, -14.5206, -10.9524,  -9.2472,  -8.6976, -12.6685, -12.0952, -12.3807, -11.4157,  -8.3245, -13.3804, -10.6941,  -8.6093,  -7.7656,  -8.9112,  -9.6761, -10.0031,  -8.4794,  -6.8842,  -9.4065,  -8.9782,  -5.0330,  -4.9493,  -5.0577,  -7.5977
201811,  -1.4774,   0.0537,  -0.3433,   0.0699,  -3.6976,   3.0748,   1.9478,   2.7722,   1.6065,   0.3845,   0.3398,   2.1796,   2.6460,   1.9768,  -0.4722,   2.5100,   1.7655,   3.3554,  -0.7535,   4.8744,   0.5869,   2.9537,   1.8668,   2.3307,  -0.0400
201812, -14.2826, -13.3176, -11.5296, -11.4637, -12.5756, -12.5370, -11.2738, -11.9126, -12.7406, -12.3240, -11.2129, -11.0568, -11.8100, -12.1115, -14.7526, -10.1713, -11.4078, -10.9525, -12.5058, -13.0651,  -8.5225,  -7.3757, -10.3453, -10.5553, -13.0017
201901,  12.5934,  10.8491,   9.7616,   8.6567,  10.8568,  10.7025,  11.1292,   9.7128,  10.2811,  10.5594,  14.2831,  10.1448,  11.5182,  10.7667,  14.0831,  11.2335,  10.3267,  10.6199,  11.7554,  11.9862,   8.0298,   6.2405,  10.1126,   6.0821,  13.0826
201902,   7.9505,   5.6037,   6.0773,   4.8423,   4.6181,   6.3820,   6.7511,   5.6543,   4.9592,   0.8098,   6.4780,   5.9166,   4.6735,   3.6308,   2.2686,   6.9591,   4.7896,   2.8674,   2.1600,   2.5906,   3.6651,   2.7125,   3.7385,   1.0199,   1.2741
201903,   0.6749,  -0.7109,  -2.9457,  -5.5207,  -3.8349,  -0.4506,  -1.4066,  -3.1014,  -6.1852,  -3.1843,  -1.3689,  -2.0381,  -0.9895,  -2.2967,  -4.0383,   1.7254,   0.8425,  -0.7357,  -0.7528,  -3.2706,   3.1795,   1.6971,  -0.0390,  -0.8225,  -3.2986
