This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202203 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. 
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192712,  -3.9895,   5.6253,   3.1789,   3.9252,   6.9476,   4.0127,   2.9256,   1.8211,   2.8371,  -0.5124,   3.7445,   3.7818,   4.3016,   2.7089,  11.3299,  -0.4764,   4.8988,   3.5578,   1.0001,  -2.3196,   2.4575,   0.6160,   0.6931,   1.9354,  10.3769
192801,  -8.7630,   8.7742,   5.0289,   1.6142,   9.9855,   1.3326,   3.6593,  -0.0359,   4.7485,   2.2786,   4.6336,   2.5505,   4.0030,   1.6092,  -6.0260,   1.4805,   0.9543,   0.1028,   2.0008,   0.3207,  -1.4183,  -0.5051,  -0.7656,  -1.9538,  -5.0648
192802,   0.6463,  -4.7897,   5.5153,   3.0179,  -4.8752,  -5.7780,  -2.1350,  -2.6221,  -2.2439,  -5.6043,  -2.6691,  -2.1407,  -3.1375,  -2.7296,  -6.3744,  -5.0439,  -1.2079,  -2.8495,  -3.3138,  -8.5240,  -0.4937,  -0.9057,  -0.9836,  -2.6766,  -1.3892
192803,  40.0538,   0.3317,   1.5163,  -3.1830,   8.9589,   4.2129,  11.2200,   6.2450,   7.5186,  14.2137,   5.6522,  10.9971,   9.6582,   2.6030,  11.7466,  15.9302,   8.6585,   4.8089,   7.3156,   7.9080,  15.3141,   4.5362,   6.1442,   5.4184,  16.7279
192804, -13.2758,  14.8714,  17.1059,   2.9593,  15.5896,   0.2405,  22.9800,   3.3605,   4.2342,  10.4199,   7.7287,   4.2454,   7.2579,   4.1322,   6.7036,   5.0314,   4.8232,   2.2169,   4.4013,   3.7146,   1.2536,   6.5894,   6.4927,   2.4846,   3.3096
192805,  17.7179,  -3.6050,   4.2123,  13.8854,   5.7369,   2.0846,   3.7085,   5.5217,   5.6941,   3.2470,   2.6704,   6.6664,   0.9903,  -1.5445,  -3.4121,   5.2264,  -0.7349,   0.8383,   0.8833,   1.9741,   1.5387,   1.9044,  -0.9823,   0.6805,  -3.8808
192806, -19.2709,  -9.1056, -13.7208,  -8.8002,  -9.4805,  -6.4215,  -9.6801,  -9.0150,  -7.9087,  -6.2034,  -6.9980,  -5.3940,  -7.6376,  -7.7597,  -7.0283,  -7.5123,  -6.0147,  -4.0365,  -6.1695,  -5.8891,  -3.5540,  -4.2790,  -4.0356,  -5.3541,  -9.1120
192807,  -2.0217,   3.3308,   5.1180,   2.0360,  -0.3159,   0.7063,  -4.1121,  -1.2983,   0.5254,  -2.6184,  -0.2590,  -0.6878,  -0.9522,  -0.1969,   1.1996,   0.6413,  -0.6906,   1.1578,   1.3764,   0.8680,   1.4402,  -0.0178,   0.1056,  -0.3936,   0.7709
192808,   7.5257,   0.5454,   4.1219,   2.0365,   3.5138,   6.6093,   3.5137,   3.4188,   3.0446,   4.3298,   6.3360,   8.8630,   8.0499,   3.8619,   8.0818,   9.7236,   7.9644,   6.1396,   7.3741,   7.4032,   8.2934,   6.3573,   4.5458,   4.1579,   4.9839
192809,   3.7129,   3.1614,   1.9054,  -0.3617,  13.2367,   2.9087,   2.0341,   5.3170,   4.6653,  13.3556,   5.2522,   4.1669,   5.2120,   6.3255,   3.0627,   4.8043,   5.6655,   2.5200,   2.7551,   5.9184,   2.4705,   0.4750,   1.9085,   0.4276,   6.6834
192810,  -3.9425,  -4.2519,   4.1512,   3.7426,   6.4470,   4.5196,   2.8798,   2.1050,   1.1427,   2.2085,   3.6945,   4.6367,   2.4701,  -0.1665,  -2.5955,   0.9607,  -1.0956,  -1.8997,   4.5583,  -3.6579,   1.4157,   2.6557,   1.2885,  -0.8938,   4.2397
192811,   3.8603,  30.0374,   7.7079,  16.4563,  12.7121,   6.3504,   7.5662,  10.0689,  13.2955,   8.1140,   9.5600,  11.1787,  18.0634,  13.3478,  15.8776,  10.7577,  11.5348,   9.4116,   7.3678,  13.8469,  10.7796,  10.2669,  15.1858,   8.8573,  17.8916
192812,  -5.4317,  -7.7337,  -5.5250,  -2.5818,  -1.9012,  -2.3803,  -3.4093,  -1.3618,  -4.4417,   0.0453,   2.2324,  -0.6097,   0.2761,   0.8745,   0.1105,   2.6205,   3.0248,  -0.0873,   1.3686,  -3.3414,   0.1785,   0.5231,  -1.3032,   0.6885,  -0.2570
192901,   2.9249,   7.9985,  -4.8900,   5.9288,   5.0850,   2.6899,   1.1937,   1.2164,  -0.4774,  -0.5946,   1.6796,   4.4790,  -5.0191,   3.3017,   2.4857,   4.4998,   4.8037,   3.6151,   1.0091,   1.1437,   6.4815,   9.9692,   2.2507,   4.2848,   0.0249
192902,   0.9617,  -7.9993,  -3.1236,  -0.0641,  -1.3350,  -3.4239,   1.6742,   3.5450,   0.4757,   5.1637,   1.3250,   0.1097,   0.3429,   3.7600,   0.1481,  -1.5696,   1.2784,   3.2374,   0.1432,   1.5527,  -1.1710,   0.9813,  -0.0860,   0.4977,   3.2517
192903, -14.5269,  -0.6033,  -3.0234,  -4.9347,  -2.4352,  -4.2383,  -6.5005,  -5.5488,  -2.6627,  -3.6716,  -7.4929,  -5.4163,  -3.1355,  -3.4667,  -5.8763,  -4.9939,  -5.7519,  -0.2036,  -1.6903,  -1.1298,  -0.4720,  -0.0286,   3.1361,  -0.2932,  -0.0757
192904,  -4.4228,  -9.2246,  -0.5601,   7.4085,  -1.9532,  -0.4975,   0.5462,   4.4321,  -2.4907,   5.4212,   2.1179,   0.3607,   3.4242,  -0.5842,  -0.4364,   2.5855,   0.1996,  -0.6048,   1.5506,   4.5725,   1.9648,   2.6536,   0.8240,   0.6334,   2.6298
192905, -21.8773,  -6.4153, -17.4473, -15.7949, -13.0119, -11.4495, -12.0323,  -8.4991, -13.5787, -14.1047,  -7.0766, -10.6575,  -8.2650,  -9.3029,  -9.3440,  -7.2453, -10.7780,  -3.5452,  -5.5249,   0.4819,  -6.1292,  -6.1519,  -3.6744,  -3.1499,  -1.8704
192906,  15.9956,   3.9139,   3.8994,   6.7303,   6.5527,   3.3939,   5.7587,  10.6850,   4.2488,   6.3254,   6.6600,  10.1682,   9.7019,   7.5735,   8.4714,  12.7735,  10.1448,  10.6383,   8.8603,   3.4458,  11.6210,  13.1707,   7.5797,   7.2639,   4.3052
192907,   0.2478,  -5.3345,  -2.3439,  -8.9964,   2.3010,  -2.7142,   1.8941,  -1.7466,   0.1131,   4.9312,   0.3228,   3.2932,   0.9848,  -0.8036,  11.2709,   1.7132,   2.5961,   1.7098,   2.3762,   4.1216,   2.7863,   6.3577,   5.8489,   8.1575,   4.8794
192908,  -4.1263,  -4.4864,  -8.9336,   4.5330,  -4.3527,  -1.2892,   0.4142,  -0.2330,   0.5136,  -2.1876,   1.7671,   0.3934,   5.3965,   1.7412,   0.6587,   3.1943,  -0.4206,   3.9409,   5.0750,   7.3749,   6.4350,  12.7967,  13.0494,  12.9724,   6.3717
192909, -10.3134,  -2.4655,  -8.1497,  -6.1435, -10.1905,  -7.9264,  -3.3980,  -5.1272,  -6.3376,  -1.6367,  -9.8835,  -0.2636,  -2.8805,  -3.8032,  -1.5353,  -1.1433,   0.7904,  -4.9183,  -4.7184,  -7.2368,  -5.8261,  -4.0531,  -4.4748,  -7.3864,  -7.2446
192910, -27.4436, -23.8083, -17.1377, -23.7403, -16.4217, -20.0796, -19.6323, -22.9422, -16.4111, -19.2594, -28.3494, -20.7176, -12.9665, -15.7487, -17.8942, -29.4751, -23.0831, -16.7136, -13.4993, -17.3250, -24.8376, -20.5233, -13.2962, -11.0043,  -7.4875
192911,  -1.3563, -16.5163,  -4.0084, -16.0135, -16.2219, -19.3908, -14.9623, -10.2676, -10.7243, -14.7692, -14.9378, -12.6535,  -8.2108,  -8.7494, -11.9980, -15.1777, -14.6016,  -8.0213,  -9.2622, -11.7634, -13.7466, -17.3180, -10.3697, -10.1556,  -6.8186
192912,  -0.4171, -22.4125, -17.6435,  -8.7887,  -4.4450,  -6.3272,  -7.1181,  -8.3260,   0.1603,  -4.6998,  -3.5296,  -1.7613,   1.2769,  -3.3718,   4.2802,   1.8047,  -4.0802,  -3.4690,  -0.3257,  10.8419,   3.3036,   3.0544,  -0.1633,   0.2406,  -0.0136
193001,  -4.3903,   9.7027,  21.0642,  11.8021,  11.6013,   7.5206,  11.2266,   8.5899,   4.2291,  14.4560,   8.9851,   9.9889,   3.8701,   5.5969,   4.5505,   8.1047,   5.8051,   5.1380,   3.4816,   3.5606,   6.6484,   7.3551,   0.4820,   4.4096,  -0.4104
193002,  16.9723,  14.2778,  -1.8447,  -1.5633,   3.2497,  -1.9117,   2.2210,   3.8110,   0.7338,   5.9028,   1.9756,   2.6440,   1.7073,   3.3500,   2.1362,   2.3903,   7.8839,  -1.6608,  -0.2310,   0.5368,   2.5449,   4.2710,   0.8650,   1.0766,   4.4434
193003,  22.8187,  -1.8224,   8.7297,  16.1875,  11.1161,   5.7624,   3.9451,  13.3273,   7.9293,   5.7768,   8.2221,   7.9923,   7.1467,   7.8136,  12.9760,   8.1800,   6.2181,   6.2113,  11.2642,  10.9418,   6.1493,   5.6825,  10.8772,   4.3556,   1.7356
193004,  -8.0867,  -5.1520,  -7.1529,  -7.7391,  -4.8420,  -9.3692,  -5.5244,  -3.3014,  -4.2073,  -5.9019,  -4.4565,  -4.5618,  -5.2061,  -3.6750,  -2.4617,  -2.7549,  -5.4910,  -6.1482,  -5.2236,  -4.7822,  -1.0042,  -3.5627,  -0.1136,  -6.3844,  -7.6094
193005,  -2.4085, -13.4212,   2.0615,  -5.1405,  -5.8082,  -5.8346,  -1.6096,  -5.5619,  -4.8733,  -3.9345,  -3.6011,  -0.9297,  -4.3077,  -2.5687,   0.0733,  -2.9652,  -3.8486,  -3.7959,  -0.4111,  -5.1609,   0.3891,  -0.1394,  -2.3117,  -2.1336,  -1.3292
193006, -13.4475, -19.8604, -18.4193, -15.8912, -21.5150, -24.7798, -18.2256, -17.2114, -17.7411, -19.8795, -15.7190, -18.4514, -15.3096, -14.3442, -17.4888, -21.8811, -17.9475, -16.3656, -14.9440, -18.9132, -18.0744, -17.2407, -13.9805,  -9.9299, -10.0851
